Country,State,Year,City name,Type of impacting vehicles or objects,Number of road accidents,Number of persons killed in road accidents ,Number of grievously injured persons,Number of minor injured persons
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Others,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Bicycles,38,16,8,19
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Bicycles,19,5,10,5
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Auto Rickshaws,74,10,46,46
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Pedestrian,80,52,68,3
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Pedestrian,368,104,149,134
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Bicycles,21,5,15,5
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,"Cars, Taxis, Vans & LMV",355,27,4,96
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Auto Rickshaws,71,5,41,57
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Buses,128,27,13,119
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Two Wheelers,941,65,758,192
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,"Cars, Taxis, Vans & LMV",25,7,2,45
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Other Non-motorized vehicle (E-rickshaw etc.),1,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Two Wheelers,30,11,19,3
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Auto Rickshaws,232,21,221,43
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Buses,2,0,0,2
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Pedestrian,261,98,14,156
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,"Cars, Taxis, Vans & LMV",394,51,142,116
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Auto Rickshaws,39,6,35,1
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Two Wheelers,1670,318,1183,536
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Others,33,18,24,0
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Bicycles,28,10,2,20
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,"Cars, Taxis, Vans & LMV",927,110,773,362
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Buses,4,1,0,1
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Bicycles,29,14,16,9
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Buses,6,2,0,3
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Others,0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Others,5,3,5,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Others,40,10,0,32
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Trucks/Lorries,84,8,10,4
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Others,16,9,0,15
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Other Non-motorized vehicle (E-rickshaw etc.),2,1,0,3
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Others,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Pedestrian,151,47,72,39
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Auto Rickshaws,93,26,32,50
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Pedestrian,108,46,44,19
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Pedestrian,93,63,81,4
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Others,379,79,44,556
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,"Cars, Taxis, Vans & LMV",82,30,38,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Two Wheelers,254,71,148,97
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Pedestrian,216,109,90,19
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Trucks/Lorries,17,6,2,13
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Pedestrian,1898,504,70,1466
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Trucks/Lorries,23,1,4,7
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Two Wheelers,898,86,689,247
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Others,5,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,"Cars, Taxis, Vans & LMV",550,21,5,142
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Auto Rickshaws,218,10,174,97
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,"Cars, Taxis, Vans & LMV",465,46,344,164
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Bicycles,10,4,6,2
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Auto Rickshaws,28,13,12,23
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Pedestrian,242,117,27,126
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Trucks/Lorries,3,0,3,3
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Auto Rickshaws,3,0,0,8
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Two Wheelers,938,321,35,764
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Two Wheelers,66,12,0,56
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Other Non-motorized vehicle (E-rickshaw etc.),25,17,0,5
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Buses,1,1,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,"Cars, Taxis, Vans & LMV",253,29,164,158
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Other Non-motorized vehicle (E-rickshaw etc.),6,1,3,3
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Two Wheelers,917,116,402,240
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Buses,222,23,120,54
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Others,259,120,8,226
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,"Cars, Taxis, Vans & LMV",33,6,0,26
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Others,4,4,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Auto Rickshaws,18,7,1,36
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Others,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,"Cars, Taxis, Vans & LMV",43,15,24,6
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Two Wheelers,592,151,260,320
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Bicycles,12,2,10,3
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Others,18,6,15,3
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Others,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Pedestrian,246,77,8,155
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Buses,14,8,0,28
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Pedestrian,160,63,72,25
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Trucks/Lorries,14,3,4,3
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Buses,15,1,21,4
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Others,96,22,7,62
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Buses,6,1,0,0
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,"Cars, Taxis, Vans & LMV",254,66,6,241
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,"Cars, Taxis, Vans & LMV",29,5,15,9
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Trucks/Lorries,166,21,88,48
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Two Wheelers,203,26,125,81
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Auto Rickshaws,39,8,6,52
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Others,205,98,5,175
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Trucks/Lorries,24,14,9,6
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Bicycles,41,15,20,8
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Buses,6,0,0,7
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Two Wheelers,70,23,12,53
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Bicycles,55,25,32,1
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Others,176,54,88,47
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Auto Rickshaws,54,6,40,46
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Auto Rickshaws,37,23,18,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Bicycles,12,3,10,1
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Trucks/Lorries,81,8,24,19
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Two Wheelers,182,63,99,76
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Trucks/Lorries,19,12,3,6
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Buses,15,1,1,2
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Two Wheelers,1764,441,92,1521
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Bicycles,28,17,0,14
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Bicycles,64,22,6,39
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,"Cars, Taxis, Vans & LMV",206,18,1,95
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Two Wheelers,955,303,30,899
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Trucks/Lorries,207,39,152,63
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Bicycles,147,45,5,118
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Buses,5,0,4,2
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Others,8,3,0,6
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Auto Rickshaws,36,1,1,26
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Two Wheelers,29,6,0,29
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,"Cars, Taxis, Vans & LMV",483,32,102,134
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Buses,5,3,0,3
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Others,15,6,5,8
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Two Wheelers,1061,294,41,936
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Buses,32,3,10,5
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,"Cars, Taxis, Vans & LMV",32,28,24,2
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Trucks/Lorries,38,5,4,0
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Trucks/Lorries,88,16,24,17
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Buses,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Bicycles,11,5,3,3
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,"Cars, Taxis, Vans & LMV",57,9,25,1
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,"Cars, Taxis, Vans & LMV",96,15,21,32
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Bicycles,39,14,8,18
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Bicycles,40,9,26,7
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Two Wheelers,2197,374,1332,876
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Bicycles,32,15,1,16
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Others,4,4,0,6
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,"Cars, Taxis, Vans & LMV",600,42,529,157
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Buses,3,1,3,1
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Others,5,3,1,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Others,0,0,0,0
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Trucks/Lorries,13,3,1,17
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Two Wheelers,816,127,680,135
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Trucks/Lorries,12,5,3,2
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Others,9,11,0,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Auto Rickshaws,2,0,0,2
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Buses,2,1,0,1
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Other Non-motorized vehicle (E-rickshaw etc.),427,90,38,363
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,"Cars, Taxis, Vans & LMV",172,7,29,20
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Bicycles,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Trucks/Lorries,93,8,13,6
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Bicycles,48,22,1,24
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Buses,104,20,70,25
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Bicycles,18,6,15,3
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,"Cars, Taxis, Vans & LMV",67,6,28,39
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Others,22,16,5,2
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Bicycles,239,67,30,163
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Pedestrian,57,35,19,4
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Buses,2,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Bicycles,40,17,4,23
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,"Cars, Taxis, Vans & LMV",215,20,66,33
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Two Wheelers,50,29,26,2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Bicycles,31,6,12,14
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Two Wheelers,931,105,823,92
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Pedestrian,82,33,35,27
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,"Cars, Taxis, Vans & LMV",83,8,14,21
